name,org,affil,school,company,industry
Jim Coulter,Alpha Chi Alpha,Local,Dartmouth College,TPG Capital,Utilities/Energy
Marshall Brain,Alpha Chi Rho,NIC,Rensselaer Polytechnic Institute,HowStuffWorks,Education
Robert J. Wise,Alpha Chi Rho,NIC,Dickinson College,Wise Potato Chip, Co.,Food/Beverage
Colin Angle,Alpha Delta Phi,NIC,MIT,iRobot Corporation,Technology
David Packard,Alpha Delta Phi,NIC,Stanford,Hewlett-Packard,Technology
Brian Chaplin,Alpha Epsilon Pi,NIC,James Madison,EZ-Nite,Technology
Bob Diener,Alpha Epsilon Pi,NIC,University of Florida,Hotels.com and Getaroom.com,Leisure/Hospitality
Winston Ibrahim,Alpha Epsilon Pi,NIC,Johns Hopkins,Hydros Bottle,Utilities/Energy
Tomer Kagan,Alpha Epsilon Pi,NIC,UC Santa Cruz,Quixey,Technology
Josh Kopelman,Alpha Epsilon Pi,NIC,University of Pennsylvania,TurnTide,Technology
Bernard Marcus,Alpha Epsilon Pi,NIC,Rutgers,Home Depot (co-founder),Retail
Justin Mateen,Alpha Epsilon Pi,NIC,USC,Tinder,Technology
Perry Mendel,Alpha Epsilon Pi,NIC,Emory,Kinder Care Day Care Centers,Professional/Business Services
Jesse Middleton,Alpha Epsilon Pi,NIC,Drexel,WeWork Labs,Professional/Business Services
Elan Miller,Alpha Epsilon Pi,NIC,University of Florida,Glimpse,Technology
Justin Miller,Alpha Epsilon Pi,NIC,University of Arizona,Airenvy,Leisure/Hospitality
Eduardo Saverin,Alpha Epsilon Pi,NIC,Harvard,Facebook,Technology
Jeremy Smith,Alpha Epsilon Pi,NIC,U of I at Urbana-Champaign,SpotHero,Transportation
Josh Weinstein,Alpha Epsilon Pi,NIC,Princeton,YouAreTV,Technology
Adam Wexler,Alpha Epsilon Pi,NIC,University of Georgia,GoRankem and Insightpool,Professional/Business Services
Mark Zuckerberg,Alpha Epsilon Pi,NIC,Harvard,Facebook,Technology
Chet Simmons,Alpha Epsilon Pi,NIC,George Washington,ESPN,Media
Alan Galumbeck,Alpha Epsilon Pi,NIC,Old Dominion,Weather Channel,Media
Melvin Benovitz,Alpha Epsilon Pi,NIC,Bradley University,Master Charge (became MasterCard),Finance
Percy Crawford,Alpha Gamma Omega,Unaffiliated,UCLA,The King's College,Education
James Cash Penney,Alpha Gamma Rho,NIC,University of Missouri,JC Penney,Retail
Joe Coulombe,Alpha Kappa Lambda,NIC,Stanford,Trader Joe's,Retail
Nathaniel Goldston,Alpha Phi Alpha,NIC, NPHC,University of Denver (unclear if he was in frat here or if honorary member),Gourmet Services,Food/Beverage
Alonzo Herndon,Alpha Phi Alpha,NIC, NPHC,honorary member,Atlanta Life Insurance,Finance
John H. Johnson,Alpha Phi Alpha,NIC, NPHC,University of Chicago,Johnson Publishing Company,Media
Henry Parks,Alpha Phi Alpha,NIC, NPHC,Ohio State,Parks Sausage,Food/Beverage
